map,card,map_elo_delta,other_maps_elo_delta,difference,approx_standard_error,approx_z_score,map_offers,other_maps_offers
Tharsis,Shuttles,-0.3021133584039474,-0.2840327049264982,-0.018080653477449193,0.18095686247579004,-0.09991692622250332,4619,4354
Tharsis,Small Animals,-0.19089918912683546,0.03115795201302159,-0.22205714113985706,0.18020684771145454,-1.2322347566692515,4623,4322
Tharsis,Soil Factory,-0.34653826533291365,-0.3596658576696817,0.013127592336768024,0.18251528486337326,0.07192598881017026,4576,4313
Tharsis,Solar Power,-0.5701075677100567,-0.40917658695000986,-0.1609309807600468,0.18152661261924793,-0.8865420801830283,4668,4274
Tharsis,Solar Wind Power,0.2647158889286664,0.4371861689237972,-0.17247027999513082,0.18501950493392516,-0.932173502770554,4444,4300
Tharsis,Soletta,-0.5864768511831536,-0.5180344832325087,-0.06844236795064496,0.17796922256959702,-0.38457418065013876,4655,4307
Tharsis,Space Elevator,1.3150684775683132,1.1637743135773875,0.15129416399092577,0.18048973211226849,0.8382424984531395,4496,4407
Tharsis,Space Hotels,0.7876444068953176,0.7944381051229552,-0.006793698227637646,0.18245000914353793,-0.037235943475853024,4571,4342
Tharsis,Space Mirrors,-0.42330389747230174,-0.3576549313672318,-0.06564896610506993,0.18051838704705,-0.36366913741567664,4622,4387
Tharsis,Space Station,-0.15759134179440593,-0.36259841560898415,0.20500707381457822,0.18419058040938643,1.1130160584701159,4545,4314
Tharsis,Special Design,-0.5022898063730851,-0.31373715596683144,-0.18855265040625363,0.1816912440388199,-1.037764100321575,4556,4343
Tharsis,Sponsors,0.5571987693132627,0.3785565814570004,0.17864218785626235,0.1842865826168124,0.9693716456162929,4474,4290
Tharsis,Standard Technology,-0.10670398615650012,-0.2494077949247265,0.1427038087682264,0.18465755752003493,0.7728024278277554,4526,4265
Tharsis,Steelworks,-0.1498748696217946,-0.21027487693967536,0.060400007317880755,0.17901464816616594,0.33740259770147935,4568,4485
Tharsis,Strip Mine,0.32094089012701105,0.09221696687311101,0.22872392325390004,0.18366058600249782,1.245362046545955,4563,4323
Tharsis,Subterranean Reservoir,0.22519002514537687,-0.20105588874129154,0.42624591388666844,0.18098590702239273,2.3551331752804963,4662,4387
Tharsis,Symbiotic Fungus,-0.1916016238931964,-0.3471477219735211,0.1555460980803247,0.18220831764477238,0.8536717757505039,4633,4310
Tharsis,Tardigrades,-0.17689568060525035,-0.20429921638251078,0.02740353577726043,0.18348274709216328,0.149352111909986,4584,4298
Tharsis,Technology Demonstration,0.12661303345519812,0.30332877895647065,-0.17671574550127253,0.18406920543501493,-0.9600505694781275,4603,4235
Tharsis,Tectonic Stress Power,-0.13511525526244575,-0.3035961849380496,0.16848092967560382,0.18172241323005695,0.9271334596592129,4681,4309
Tharsis,Terraforming Ganymede,-0.02958944319046776,0.06200646490688386,-0.09159590809735162,0.18268924860437527,-0.5013754711735016,4603,4400
Tharsis,Titanium Mine,0.625114467046207,0.408588564977356,0.21652590206885097,0.18590824933393263,1.1646922761341387,4574,4257
Tharsis,Toll Station,-0.46522897450538525,-0.3679790584550531,-0.09724991605033217,0.18195372223316564,-0.5344761011578028,4647,4333
Tharsis,Towing a Comet,-0.3001885530478069,-0.4846588101166001,0.18447025706879322,0.1814507949389393,1.0166406663077447,4601,4355
Tharsis,Trans-Neptune Probe,-0.2628395481606788,-0.1965410117128819,-0.06629853644779687,0.18451453533884318,-0.3593133534225149,4503,4316
Tharsis,Trees,0.07144737205946633,0.052256733277087394,0.019190638782378935,0.18444099190675725,0.10404757957537236,4568,4319
Tharsis,Tropical Resort,-0.5012662943960491,-0.23654218681159664,-0.2647241075844524,0.18150289760406274,-1.4585117432225878,4512,4322
Tharsis,Tundra Farming,-0.47714069086612093,-0.42344849977335175,-0.05369219109276918,0.18126457007735594,-0.29620896720112294,4605,4337
Tharsis,Underground City,-0.25800206711187124,-0.49332950347256277,0.23532743636069153,0.1792377200478652,1.3129347790066044,4589,4370
